VENDOR_CODE,DELIVERY_PERIOD,DP_TYPE,ACT_ISS_DT,ITEM,ORDER_QTY,UOM,UNIT_PRICE
~0991,3,Months,11-11-16,ITEM1,103,NOS,350
D111,8,Months,16-11-16,ITEM1,184,NOS,1
M057,22,Weeks,23-11-16,ITEM1,326,NOS,1
D111,24,Weeks,24-11-16,ITEM1,11394,NOS,1
K218,2,Months,16-12-16,ITEM1,4,NOS,475
S265,2,Months,16-12-16,ITEM1,12,NOS,475
D111,4,Months,22-12-16,ITEM1,394,NOS,430
S265,6,Weeks,26-01-17,ITEM1,168,NOS,465
S265,10,Weeks,31-01-17,ITEM1,300,NOS,422
S265,10,Weeks,31-01-17,ITEM1,84,NOS,422
S265,10,Weeks,31-01-17,ITEM1,1516,NOS,422
S265,10,Weeks,31-01-17,ITEM1,1233,NOS,422
S265,10,Weeks,31-01-17,ITEM1,662,NOS,422
S265,2,Months,09-02-17,ITEM1,613,NOS,432
K218,4,Months,28-02-17,ITEM1,1010,NOS,390
P275,5,Months,06-03-17,ITEM1,1169,NOS,370
S265,45,Days,08-03-17,ITEM1,134,NOS,440
K218,45,Days,08-03-17,ITEM1,34,NOS,461.52
S265,7,Weeks,10-03-17,ITEM1,2,NOS,485
S265,7,Weeks,10-03-17,ITEM1,4,NOS,485
Y634,2,Months,31-03-17,ITEM1,390,NOS,5
Y634,2,Months,07-04-17,ITEM1,15,NOS,5.98
S265,2,Months,09-05-17,ITEM1,294,NOS,432
3637,2,Months,11-05-17,ITEM1,382,NOS,463
3637,45,Days,12-05-17,ITEM1,44,NOS,434
Y634,21,Weeks,16-06-17,ITEM1,346,NOS,5.14
Y634,21,Weeks,16-06-17,ITEM1,98,NOS,5.14
Y634,21,Weeks,16-06-17,ITEM1,570,NOS,5.14
Y634,21,Weeks,16-06-17,ITEM1,162,NOS,5.14
Y634,21,Weeks,16-06-17,ITEM1,78,NOS,5.14
Y634,2,Months,30-06-17,ITEM1,369,NOS,5.39
3637,3,Months,30-06-17,ITEM1,92,NOS,387.79
3637,2,Months,30-06-17,ITEM1,13,NOS,457
M057,8,Weeks,21-07-17,ITEM1,33,NOS,644.95
T226,24,Weeks,24-07-17,ITEM1,845,NOS,429
~0991,4,Months,13-09-17,ITEM1,231,NOS,415
Y634,3,Months,14-09-17,ITEM1,504,NOS,5.56
P275,10,Weeks,20-09-17,ITEM1,10,NOS,440
S265,2,Months,18-10-17,ITEM1,80,NOS,432
T226,10,Weeks,01-12-17,ITEM1,138,NOS,481.64
3637,24,Weeks,15-12-17,ITEM1,300,NOS,454
T221,2,Months,15-12-17,ITEM1,16,NOS,625
3637,24,Weeks,15-12-17,ITEM1,360,NOS,440
3637,24,Weeks,29-12-17,ITEM1,77,NOS,500
3637,24,Weeks,04-01-18,ITEM1,240,NOS,500
3637,24,Weeks,05-01-18,ITEM1,132,NOS,449.73
S265,24,Weeks,05-01-18,ITEM1,528,NOS,485
T226,90,Days,10-01-18,ITEM1,77,NOS,481.64
3637,6,Months,11-01-18,ITEM1,483,NOS,465.12
S265,2,Months,19-01-18,ITEM1,40,NOS,495
G125,20,Weeks,27-02-18,ITEM1,285,NOS,466
G125,24,Weeks,28-02-18,ITEM1,320,NOS,466
G125,20,Weeks,20-03-18,ITEM1,318,NOS,466
G125,20,Weeks,20-03-18,ITEM1,98,NOS,466
S265,4,Months,23-03-18,ITEM1,749,NOS,510
J614,24,Weeks,23-03-18,ITEM1,3067,NOS,6.26
J614,24,Weeks,23-03-18,ITEM1,3067,NOS,6.26
C209,6,Weeks,30-03-18,ITEM1,135,NOS,604
3637,4,Months,06-04-18,ITEM1,281,NOS,450
3637,4,Months,07-04-18,ITEM1,529,NOS,424
K218,15,Weeks,26-04-18,ITEM1,205,NOS,530
G125,10,Weeks,30-04-18,ITEM1,1407,NOS,491
80290,2,Weeks,01-06-18,ITEM1,8,NOS,355
K218,11,Weeks,28-06-18,ITEM1,503,NOS,530
S265,11,Weeks,29-06-18,ITEM1,100,NOS,540
S265,11,Weeks,29-06-18,ITEM1,325,NOS,540
S265,11,Weeks,29-06-18,ITEM1,282,NOS,540
80290,2,Weeks,05-07-18,ITEM1,29,NOS,535
S265,5,Months,06-07-18,ITEM1,8860,NOS,540
T226,11,Weeks,13-07-18,ITEM1,63,NOS,527.44
T221,11,Weeks,13-07-18,ITEM1,64,NOS,545.19
S265,11,Weeks,13-07-18,ITEM1,508,NOS,540
3637,6,Weeks,02-08-18,ITEM1,569,NOS,512
S265,8,Weeks,14-09-18,ITEM1,6,NOS,675
C209,3,Months,26-09-18,ITEM1,548,NOS,650
3637,5,Months,31-10-18,ITEM1,186,NOS,508.12
3637,4,Months,31-10-18,ITEM1,279,NOS,538
D111,12,Weeks,27-12-18,ITEM1,167,NOS,612
D111,12,Weeks,27-12-18,ITEM1,79,NOS,612
D111,12,Weeks,27-12-18,ITEM1,57,NOS,612
D111,12,Weeks,27-12-18,ITEM1,540,NOS,612
D111,12,Weeks,27-12-18,ITEM1,645,NOS,612
T226,8,Weeks,01-02-19,ITEM1,21,NOS,750
T019,10,Weeks,15-02-19,ITEM1,15,NOS,750
S859,2,Months,07-03-19,ITEM1,3,NOS,8.33
T556,2,Months,07-03-19,ITEM1,36,NOS,13.26
S859,2,Months,07-03-19,ITEM1,79,NOS,8.33
S859,2,Months,07-03-19,ITEM1,73,NOS,8.33
3637,4,Weeks,18-04-19,ITEM1,390,NOS,538
81641,2,Weeks,18-04-19,ITEM1,950,NOS,8.23
81587,26,Weeks,18-04-19,ITEM1,410,NOS,10.22
27489,6,Weeks,10-05-19,ITEM1,211,NOS,12.84
27489,6,Weeks,10-05-19,ITEM1,104,NOS,12.84
T221,4,Months,18-06-19,ITEM1,238,NOS,622
Y634,20,Weeks,10-07-19,ITEM1,330,NOS,1
3747,3,Months,03-09-19,ITEM1,13,NOS,740
P315,10,Weeks,04-10-19,ITEM1,872,NOS,640
3747,6,Weeks,18-10-19,ITEM1,425,NOS,640
P315,3,Months,08-11-19,ITEM1,77,NOS,595
D111,2,Weeks,30-11-19,ITEM1,80,NOS,722
P315,3,Weeks,14-12-19,ITEM1,165,NOS,1090
G125,20,Weeks,16-12-19,ITEM1,4,NOS,1500
D111,16,Weeks,18-12-19,ITEM1,482,NOS,628
Y634,2,Months,19-02-20,ITEM1,787,Nos,1
D111,9,Weeks,22-04-20,ITEM1,1378,NOS,570
D111,10,Weeks,17-07-20,ITEM1,265,NOS,570
Y634,14,Weeks,22-09-20,ITEM1,455,NOS.,1
T221,4,Weeks,22-09-20,ITEM1,101,NOS,621
S102,9,Weeks,22-10-20,ITEM1,140,NOS,595
M057,10,Weeks,24-12-20,ITEM1,33,NOS,687
P315,16,Weeks,25-01-21,ITEM1,206,NOS,1
S102,8,Weeks,25-03-21,ITEM1,6,NOS,640
M057,6,Weeks,08-06-21,ITEM1,782,NOS,756
Y634,10,Weeks,08-07-21,ITEM1,117,NOS,1
M057,4,Weeks,17-07-21,ITEM1,22,NOS,756
C209,6,Weeks,17-08-21,ITEM1,34,NOS,1
T040,1,Days,,ITEM1,390,NOS,400
F130,0,Years,,ITEM1,1412,NOS,230
T040,0,Years,21-08-01,ITEM3,671,NOS,550
T040,0,Years,20-11-01,ITEM3,515,NOS,550
F130,0,Years,11-04-02,ITEM3,2325,NOS,575
T040,0,Years,29-05-02,ITEM3,1120,NOS,548
F130,0,Years,01-08-02,ITEM3,819,NOS,575
T040,0,Years,16-10-02,ITEM3,458,NOS,580
T040,0,Years,08-01-03,ITEM3,642,NOS,550
T040,8,Weeks,11-01-03,ITEM3,2,NOS,650
T040,0,Years,30-01-03,ITEM3,256,NOS,570
D111,3,Months,06-03-03,ITEM3,381,NOS,537
D111,6,Weeks,17-05-03,ITEM3,4,NOS,612
T040,12,Weeks,01-07-03,ITEM3,427,NOS,590
T040,6,Weeks,04-07-03,ITEM3,358,NOS,575
D111,6,Weeks,18-08-03,ITEM3,117,NOS,568
S265,6,Months,02-09-03,ITEM3,1164,NOS,540
T040,3,Months,16-09-03,ITEM3,151,NOS,550
S265,4,Months,03-11-03,ITEM3,322,NOS,540
S265,4,Months,03-11-03,ITEM3,334,NOS,540
D111,6,Months,05-11-03,ITEM3,633,NOS,511.2
S265,6,Months,17-11-03,ITEM3,170,NOS,540
D111,8,Weeks,28-11-03,ITEM3,203,NOS,608
T040,3,Months,30-12-03,ITEM3,70,NOS,575
D111,3,Months,01-01-04,ITEM3,64,NOS,537
D111,8,Weeks,16-01-04,ITEM3,69,NOS,608
S265,4,Months,21-01-04,ITEM3,22,NOS,537.299
S265,4,Months,21-02-04,ITEM3,2188,NOS,640
T040,12,Weeks,15-03-04,ITEM3,80,NOS,625
T040,6,Weeks,19-03-04,ITEM3,6,NOS,875
T040,12,Weeks,02-04-04,ITEM3,113,NOS,725
T040,12,Weeks,21-05-04,ITEM3,318,NOS,870
T040,12,Weeks,21-05-04,ITEM3,385,NOS,860
C041,12,Weeks,26-05-04,ITEM3,40,NOS,880
T019,4,Months,14-06-04,ITEM3,3,NOS,995
A225,6,Weeks,25-06-04,ITEM3,62,NOS,900
N003,3,Months,23-07-04,ITEM3,482,NOS,695
T019,9,Weeks,11-08-04,ITEM3,0,NOS,1400
T040,14,Weeks,26-08-04,ITEM3,87,NOS,880
~5121,4,Months,01-09-04,ITEM3,524,NOS,13.1
T040,2,Months,02-09-04,ITEM3,18,NOS,925
N003,9,Weeks,15-09-04,ITEM3,294,NOS,725
~5121,6,Weeks,30-09-04,ITEM3,9,NOS,16.7
~5121,6,Weeks,30-09-04,ITEM3,231,NOS,16.7
T040,1,Weeks,01-10-04,ITEM3,230,NOS,990
P686,4,Weeks,06-10-04,ITEM3,178,NOS,15.4
T040,3,Months,05-11-04,ITEM3,786,NOS,945
T040,2,Months,07-12-04,ITEM3,273,NOS,900
N003,3,Months,07-12-04,ITEM3,137,NOS,900
M057,12,Weeks,19-01-05,ITEM3,2,NOS,1172
T040,16,Weeks,27-01-05,ITEM3,44,NOS,900
T040A,3,Months,28-01-05,ITEM3,174,NOS,900
T040,8,Weeks,31-01-05,ITEM3,67,NOS,950
T040,8,Weeks,19-02-05,ITEM3,100,NOS,950
T040,14,Weeks,28-02-05,ITEM3,189,NOS,1080
T040,9,Weeks,11-03-05,ITEM3,100,NOS,915
T040,6,Weeks,22-03-05,ITEM3,20,NOS,1125
T040,6,Weeks,22-03-05,ITEM3,14,NOS,1125
T040,10,Weeks,07-04-05,ITEM3,15,NOS,940
T019,4,Months,15-04-05,ITEM3,0,NOS,1250
T040,10,Weeks,19-04-05,ITEM3,110,NOS,1120
T019,4,Months,13-06-05,ITEM3,1474,NOS,1150
T040,8,Weeks,16-06-05,ITEM3,20,NOS,1200
T040,10,Weeks,17-06-05,ITEM3,19,NOS,1225
T040,4,Weeks,14-07-05,ITEM3,22,NOS,1080
T040,1,Months,26-07-05,ITEM3,27,NOS,915
T040,9,Weeks,31-08-05,ITEM3,140,NOS,1050
T040,3,Months,05-09-05,ITEM3,2131,NOS,1050
T040,3,Weeks,06-10-05,ITEM3,319,NOS,1200
T040,4,Weeks,07-10-05,ITEM3,40,NOS,1325
T040,8,Weeks,09-11-05,ITEM3,135,NOS,1040
T019,5,Months,20-12-05,ITEM3,1097,NOS,1500
T040,3,Months,17-02-06,ITEM3,2131,NOS,1050
T019,5,Months,27-02-06,ITEM3,155,NOS,1500
M057,4,Months,27-03-06,ITEM3,145,NOS,1136.08
T040,16,Weeks,13-04-06,ITEM3,426,NOS,1150
T019,4,Months,03-05-06,ITEM3,117,NOS,1300
T040,6,Weeks,12-05-06,ITEM3,8,NOS,1230
T019,5,Months,17-07-06,ITEM3,127,NOS,1500
P686,14,Weeks,25-08-06,ITEM3,356,NOS,12.11
T040,12,Weeks,31-08-06,ITEM3,479,NOS,1188
T040,6,Months,28-09-06,ITEM3,3990,NOS,936
T040,16,Weeks,23-10-06,ITEM3,426,NOS,1150
T040,5,Months,13-11-06,ITEM3,849,NOS,1035
T040,3,Months,08-05-07,ITEM3,13,NOS,1100
T040,4,Months,31-05-07,ITEM3,93,NOS,990
E188,5,Months,07-06-07,ITEM3,0,NOS,1156.4
M057,5,Months,07-06-07,ITEM3,16,NOS,1123
T040,6,Months,27-06-07,ITEM3,446,NOS,999
T040,4,Months,18-08-07,ITEM3,330,NOS,990
T019,3,Months,08-09-07,ITEM3,644,NOS,995
E188,4,Months,01-10-07,ITEM3,410,NOS,960
T040,6,Months,27-10-07,ITEM3,130,NOS,999
T040,3,Months,10-01-08,ITEM3,1764,NOS,918
E188,3,Months,11-01-08,ITEM3,155,NOS,990
T040,2,Months,23-01-08,ITEM3,8,NOS,1100
E188,4,Months,31-01-08,ITEM3,2161,NOS,960
P686,3,Months,29-02-08,ITEM3,345,NOS,17.06
T040,2,Months,15-03-08,ITEM3,8,NOS,1250
T040,5,Months,11-04-08,ITEM3,200,NOS,1010
T040,6,Weeks,07-06-08,ITEM3,45,NOS,1305
T040,3,Months,19-06-08,ITEM3,192,NOS,1225
T040,3,Months,19-06-08,ITEM3,133,NOS,1250
T040,6,Months,24-06-08,ITEM3,3990,NOS,1074.6
P275,4,Months,02-07-08,ITEM3,125,NOS,1166
T040,1,Months,18-07-08,ITEM3,60,NOS,1350
T040,3,Months,31-07-08,ITEM3,871,NOS,1200
T019,4,Months,12-08-08,ITEM3,7,NOS,1200
T040,4,Months,19-08-08,ITEM3,142,NOS,1230
T040,3,Months,05-09-08,ITEM3,29,NOS,1305
A225,4,Months,13-09-08,ITEM3,138,NOS,1220
T040,4,Months,17-09-08,ITEM3,842,NOS,1350
A225,12,Weeks,03-10-08,ITEM3,6,NOS,1150
T019,4,Months,22-10-08,ITEM3,466,NOS,1050
T040,3,Months,31-10-08,ITEM3,17,NOS,1380
T040,5,Months,15-11-08,ITEM3,26,NOS,1350
T040,75,Days,18-11-08,ITEM3,12,NOS,1260
T040,3,Months,20-01-09,ITEM3,61,NOS,1260
T040,2,Weeks,22-01-09,ITEM3,220,NOS,1350
T040,8,Weeks,03-02-09,ITEM3,15,NOS,1170
G125,4,Months,03-02-09,ITEM3,77,NOS,941.7
A225,8,Weeks,10-02-09,ITEM3,6,NOS,1220
T040,8,Months,14-02-09,ITEM3,300,NOS,1080
T040A,6,Weeks,21-02-09,ITEM3,184,NOS,1080
T040,4,Months,27-02-09,ITEM3,1077,NOS,1125
T040,5,Months,02-03-09,ITEM3,26,NOS,1350
T040,47,Months,05-03-09,ITEM3,205,NOS,1200
S046,6,Months,13-03-09,ITEM3,73,NOS,986
M057,6,Weeks,26-03-09,ITEM3,15,NOS,1236
M057,6,Weeks,26-03-09,ITEM3,15,,0
T040,3,Months,27-03-09,ITEM3,10,NOS,1058
G125,3,Months,01-04-09,ITEM3,250,NOS,1050
T019,3,Months,06-04-09,ITEM3,431,NOS,1050
G125,4,Months,07-04-09,ITEM3,897,NOS,980
T040,4,Weeks,08-04-09,ITEM3,23,NOS,1170
T040,5,Months,08-05-09,ITEM3,233,NOS,1040
S046,3,Weeks,19-05-09,ITEM3,85,NOS,981
S046,3,Months,22-05-09,ITEM3,100,NOS,985
G125,4,Months,04-06-09,ITEM3,74,NOS,1030
A225,2,Weeks,24-06-09,ITEM3,41,NOS,1288
I594,2,Months,06-07-09,ITEM3,557,NOS,14
T019,3,Months,10-07-09,ITEM3,123,NOS,925
T019,6,Weeks,23-07-09,ITEM3,2,NOS,1000
S046,12,Weeks,04-08-09,ITEM3,2942,NOS,812.57
T040,4,Months,07-08-09,ITEM3,649,NOS,875
T019,107,Days,12-08-09,ITEM3,222,NOS,825
T040,5,Months,24-08-09,ITEM3,233,NOS,1040
T040,3,Months,31-08-09,ITEM3,3,NOS,1080
S046,2,Months,31-08-09,ITEM3,40,NOS,942
T040,4,Weeks,10-09-09,ITEM3,51,NOS,1035
T040,2,Months,19-09-09,ITEM3,271,NOS,970
T040,10,Weeks,19-09-09,ITEM3,43,NOS,990
S046,3,Months,30-09-09,ITEM3,89,NOS,667
T040,4,Months,22-10-09,ITEM3,85,NOS,990
T040,2,Months,23-10-09,ITEM3,220,NOS,870
T040A,6,Weeks,03-11-09,ITEM3,184,NOS,1080
T019,2,Weeks,09-11-09,ITEM3,5,NOS,900
D111,4,Months,09-11-09,ITEM3,72,NOS,873
T019,3,Months,27-11-09,ITEM3,1268,NOS,882
T040,1,Weeks,30-11-09,ITEM3,25,NOS,1080
T040,5,Weeks,18-12-09,ITEM3,96,NOS,870
S046,5,Months,19-12-09,ITEM3,2700,NOS,860
T040,5,Months,25-01-10,ITEM3,26,NOS,1350
T040,2,Weeks,25-01-10,ITEM3,2,NOS,1250
S046,3,Months,27-01-10,ITEM3,90,NOS,860
T040,4,Months,28-01-10,ITEM3,130,NOS,850
T040,3,Months,19-03-10,ITEM3,752,NOS,750
G125,4,Months,22-03-10,ITEM3,72,NOS,800
G125,4,Months,26-03-10,ITEM3,4,NOS,1020
T040,15,Weeks,26-03-10,ITEM3,72,NOS,918
T040,5,Weeks,05-04-10,ITEM3,667,NOS,870
G125,3,Months,17-05-10,ITEM3,58,NOS,945
T040,2,Months,18-05-10,ITEM3,330,NOS,960
T040,2,Months,21-05-10,ITEM3,143,NOS,900
A225,2,Weeks,26-05-10,ITEM3,31,NOS,1100
G125,4,Months,07-06-10,ITEM3,45,NOS,945
T019,5,Months,06-07-10,ITEM3,134,NOS,900
T040,3,Months,14-07-10,ITEM3,30,NOS,990
T019,2,Months,14-07-10,ITEM3,12,NOS,825
T019,2,Months,14-07-10,ITEM3,125,NOS,825
T019,3,Months,27-07-10,ITEM3,767,NOS,825
T040,2,Months,02-08-10,ITEM3,0,NOS,900
T019,4,Months,06-08-10,ITEM3,377,NOS,825
T040,5,Months,10-08-10,ITEM3,2201,NOS,900
T019,3,Months,31-08-10,ITEM3,363,NOS,825
T040,5,Weeks,02-09-10,ITEM3,110,NOS,1025
T019,12,Weeks,01-10-10,ITEM3,12,NOS,900
T019,3,Months,19-10-10,ITEM3,69,NOS,900
T019,10,Weeks,29-10-10,ITEM3,49,NOS,1000
T040,10,Weeks,21-12-10,ITEM3,9,NOS,990
M057,4,Weeks,13-01-11,ITEM3,9,NOS,1236
T040,4,Months,10-02-11,ITEM3,82,NOS,860
T040,6,Months,18-02-11,ITEM3,48,NOS,935
T040,3,Months,14-03-11,ITEM3,85,NOS,925
T040,4,Months,07-04-11,ITEM3,39,NOS,925
T226,6,Weeks,21-04-11,ITEM3,100,NOS,1000
T040,5,Months,03-05-11,ITEM3,271,NOS,940
T019,3,Months,07-05-11,ITEM3,197,NOS,825
T019,0,Months,17-05-11,ITEM3,0,NOS,1000
T040,3,Months,18-05-11,ITEM3,300,NOS,940
T040,5,Months,01-06-11,ITEM3,536,NOS,940
T040,5,Months,14-06-11,ITEM3,58,NOS,930
M057,1,Weeks,18-06-11,ITEM3,48,NOS,1400.8
T221,4,Months,24-06-11,ITEM3,70,NOS,925
M057,10,Days,04-07-11,ITEM3,13,NOS,1423
M057,2,Weeks,08-07-11,ITEM3,7,NOS,1400.8
T226,10,Days,15-07-11,ITEM3,61,NOS,1920
M057,4,Weeks,26-07-11,ITEM3,13,NOS,1360
T040,4,Months,03-08-11,ITEM3,4,NOS,1100
T040,16,Weeks,08-08-11,ITEM3,181,NOS,1000
D111,6,Months,15-09-11,ITEM3,30,NOS,1040
T040,3,Months,26-09-11,ITEM3,1750,NOS,980
T040,4,Months,21-10-11,ITEM3,515,NOS,950
T221,4,Months,25-10-11,ITEM3,144,NOS,981
T040,14,Weeks,04-11-11,ITEM3,486,NOS,1025
D111,4,Months,17-11-11,ITEM3,633,NOS,1092
T040,5,Months,23-11-11,ITEM3,74,NOS,940
T221,2,Months,14-12-11,ITEM3,140,NOS,1133
T040,3,Months,27-12-11,ITEM3,150,NOS,940
D111,12,Weeks,10-01-12,ITEM3,6,NOS,1352
G125,5,Weeks,25-01-12,ITEM3,2,NOS,1780
G125,3,Months,27-02-12,ITEM3,50,NOS,988
T221,16,Weeks,16-03-12,ITEM3,81,NOS,989
G125,16,Weeks,30-03-12,ITEM3,89,NOS,1027
T040,5,Months,03-04-12,ITEM3,654,NOS,1040
T221,0,Months,18-04-12,ITEM3,0,NOS,1021
G125,3,Months,02-05-12,ITEM3,52,NOS,975
G125,3,Months,31-05-12,ITEM3,33,NOS,975
D111,12,Weeks,03-07-12,ITEM3,206,NOS,1144
T040,3,Months,13-07-12,ITEM3,52,NOS,1065
T040,5,Months,07-09-12,ITEM3,173,NOS,1040
S265,2,Months,07-09-12,ITEM3,13,NOS,1220
S265,2,Months,11-10-12,ITEM3,13,NOS,1220
T040,3,Months,18-10-12,ITEM3,156,NOS,1090
S265,14,Weeks,29-10-12,ITEM3,145,NOS,1030
W615,8,Weeks,31-10-12,ITEM3,30,NOS,79.5
T221,2,Months,12-11-12,ITEM3,47,NOS,1277
S265,4,Months,24-11-12,ITEM3,2695,NOS,980
T040,2,Months,03-01-13,ITEM3,31,NOS,1250
T226,10,Weeks,13-02-13,ITEM3,125,NOS,1060
T040,6,Months,26-02-13,ITEM3,1233,NOS,950
E188,8,Weeks,15-03-13,ITEM3,105,NOS,1098
T040,10,Weeks,12-04-13,ITEM3,174,NOS,1010
M057,6,Weeks,18-04-13,ITEM3,18,NOS,1496
T040,6,Weeks,23-04-13,ITEM3,10,NOS,1400
T040,3,Months,19-06-13,ITEM3,48,NOS,1020
D111,2,Months,05-07-13,ITEM3,30,NOS,915
C209,15,Days,05-08-13,ITEM3,8,NOS,1400
S265,6,Weeks,27-08-13,ITEM3,82,NOS,1010
D111,12,Weeks,04-09-13,ITEM3,363,NOS,1040
D111,4,Months,04-09-13,ITEM3,2457,NOS,884
S265,8,Weeks,20-09-13,ITEM3,19,NOS,1050
T040,10,Weeks,26-09-13,ITEM3,67,NOS,1125
S265,2,Weeks,11-10-13,ITEM3,11,NOS,1160
S265,8,Weeks,14-11-13,ITEM3,24,NOS,1200
E188,4,Weeks,14-11-13,ITEM3,2,NOS,1221.77
T221,6,Weeks,14-11-13,ITEM3,3,NOS,1148.83
M057,2,Weeks,21-11-13,ITEM3,36,NOS,1496
E188,3,Weeks,29-11-13,ITEM3,12,NOS,1606
D111,4,Months,31-12-13,ITEM3,1126,NOS,1040
T040,3,Months,01-01-14,ITEM3,23,NOS,1020
E188,4,Months,03-01-14,ITEM3,255,NOS,1007
T019,3,Weeks,21-01-14,ITEM3,37,NOS,1400
T040,4,Months,22-01-14,ITEM3,49,NOS,1040
T221,3,Months,02-04-14,ITEM3,3,NOS,1307
M057,2,Weeks,25-04-14,ITEM3,2,NOS,1496
P315,2,Months,07-05-14,ITEM3,417,NOS,1160
P315,3,Months,26-05-14,ITEM3,1351,NOS,1235
C209,2,Months,23-06-14,ITEM3,304,NOS,1400
T019,3,Months,27-06-14,ITEM3,326,NOS,1250
Y634,1,Months,19-08-14,ITEM3,27,NOS,18.36
D111,4,Months,19-08-14,ITEM3,1126,NOS,1040
G125,5,Months,21-08-14,ITEM3,28,NOS,1284
C209,2,Weeks,18-09-14,ITEM3,25,NOS,1700
T019,1,Weeks,07-10-14,ITEM3,48,NOS,1250
T221,3,Months,07-10-14,ITEM3,7,NOS,1386
D111,3,Months,17-10-14,ITEM3,858,NOS,1040
G125,4,Months,07-11-14,ITEM3,121,NOS,1308
S102,2,Months,22-12-14,ITEM3,96,NOS,1210
G125,4,Months,09-02-15,ITEM3,84,NOS,1308
D111,3,Months,16-03-15,ITEM3,515,NOS,1040
S102,4,Months,31-03-15,ITEM3,850,NOS,1210
D111,5,Months,08-04-15,ITEM3,70,NOS,1150
Y634,45,Days,25-06-15,ITEM3,60,NOS,18.36
Y634,45,Days,25-06-15,ITEM3,60,NOS,18.36
D111,3,Months,06-07-15,ITEM3,232,NOS,1040
T019,2,Months,03-08-15,ITEM3,742,NOS,1175
D111,5,Months,05-08-15,ITEM3,20,NOS,1150
G125,3,Months,12-08-15,ITEM3,75,NOS,1130
Y634,45,Days,27-08-15,ITEM3,38,NOS,18.36
G125,8,Weeks,10-09-15,ITEM3,42,NOS,1071
T019,2,Months,10-09-15,ITEM3,281,NOS,1175
A225,5,Months,06-11-15,ITEM3,51,NOS,1050
G125,3,Months,04-12-15,ITEM3,46,NOS,1130
Y634,4,Weeks,16-12-15,ITEM3,34,NOS,16.07
C209,6,Weeks,16-12-15,ITEM3,8,NOS,1175.84
C209,6,Weeks,18-12-15,ITEM3,238,NOS,1180
A225,5,Months,31-12-15,ITEM3,51,NOS,1050
C209,3,Months,05-01-16,ITEM3,106,NOS,1210
C209,8,Weeks,11-01-16,ITEM3,144,NOS,1200
C209,2,Months,30-01-16,ITEM3,44,NOS,1030.21
T019,2,Months,30-01-16,ITEM3,176,NOS,1040
T221,6,Weeks,10-02-16,ITEM3,13,NOS,1095
T019,6,Weeks,11-02-16,ITEM3,7,NOS,1200
T221,4,Months,11-02-16,ITEM3,24,NOS,1182
K218,2,Months,26-03-16,ITEM3,138,NOS,1100
C209,6,Weeks,25-04-16,ITEM3,205,NOS,1050
A225,4,Months,03-05-16,ITEM3,26,NOS,980
C209,5,Months,04-05-16,ITEM3,640,NOS,1060
C209,45,Days,25-05-16,ITEM3,2,NOS,1100
Y634,2,Weeks,07-06-16,ITEM3,12,NOS,15
T019,4,Months,24-06-16,ITEM3,878,NOS,1025
P315,2,Months,27-06-16,ITEM3,340,NOS,985
P315,2,Months,07-07-16,ITEM3,9,NOS,1190
C209,8,Weeks,21-07-16,ITEM3,18,NOS,1050
C209,2,Months,28-07-16,ITEM3,150,NOS,1050
P315,6,Weeks,23-08-16,ITEM3,311,NOS,1050
P315,3,Months,02-09-16,ITEM3,60,NOS,1050
C209,5,Weeks,10-09-16,ITEM3,192,NOS,1050
P315,6,Weeks,28-09-16,ITEM3,199,NOS,1050
P315,3,Months,30-09-16,ITEM3,304,NOS,1100
K218,4,Months,07-11-16,ITEM3,436,NOS,990
~0991,3,Months,11-11-16,ITEM3,75,NOS,900
D111,8,Months,16-11-16,ITEM3,7,NOS,1
D111,22,Weeks,23-11-16,ITEM3,294,NOS,1
D111,24,Weeks,24-11-16,ITEM3,7608,NOS,1
80293,20,Days,02-12-16,ITEM3,12,NOS,1100
S265,2,Months,16-12-16,ITEM3,16,NOS,1100
K218,2,Months,16-12-16,ITEM3,5,NOS,1100
T019,4,Months,22-12-16,ITEM3,122,NOS,1025
S265,6,Weeks,26-01-17,ITEM3,9,NOS,1080
S265,10,Weeks,31-01-17,ITEM3,76,NOS,1040
S265,10,Weeks,31-01-17,ITEM3,2,NOS,1040
S265,10,Weeks,31-01-17,ITEM3,25,NOS,1040
S265,10,Weeks,31-01-17,ITEM3,124,NOS,1040
S265,10,Weeks,31-01-17,ITEM3,84,NOS,1040
S265,2,Months,09-02-17,ITEM3,1155,NOS,1040
80566,3,Weeks,15-02-17,ITEM3,70,NOS,1031
~0991,4,Months,28-02-17,ITEM3,485,NOS,988
P275,5,Months,06-03-17,ITEM3,678,NOS,960
K218,45,Days,08-03-17,ITEM3,17,NOS,1101.34
S265,45,Days,08-03-17,ITEM3,64,NOS,1050
S265,7,Weeks,10-03-17,ITEM3,7,NOS,1180
S265,7,Weeks,10-03-17,ITEM3,6,NOS,1180
K218,3,Months,30-03-17,ITEM3,142,NOS,995
K218,3,Months,02-05-17,ITEM3,177,NOS,1100
S265,2,Months,09-05-17,ITEM3,151,NOS,1040
3637,2,Months,11-05-17,ITEM3,11,NOS,1061
K218,3,Months,26-05-17,ITEM3,81,NOS,1100
Y634,21,Weeks,16-06-17,ITEM3,1950,NOS,12.7
Y634,21,Weeks,16-06-17,ITEM3,140,NOS,12.7
Y634,21,Weeks,16-06-17,ITEM3,4,NOS,12.7
Y634,21,Weeks,16-06-17,ITEM3,343,NOS,12.7
